GT1,id,submitted_us,completed_us,drain_us
GT1,57,82416,82444,28
GT1,58,85258,85274,16
GT1,59,77602,77619,17
GT1,60,80256,80274,18
GT1,61,71889,71907,18
GT1,62,76087,76104,17
GT1,63,93043,93060,17
GT1,64,71070,71084,14
GT1,65,90201,90215,14
GT1,66,80771,80788,17
GT1,67,75540,75568,28
GT1,68,91330,91349,19
GT1,69,86310,86329,19
GT1,70,87914,87930,16
GT1,71,87206,87223,17
GT1,72,71133,71145,12
GT1,73,79271,79283,12
GT1,74,91458,91470,12
GT1,75,75631,75643,12
GT1,76,91912,91925,13
GT1,77,78003,78015,12
GT1,78,77479,77491,12
GT1,79,78214,78226,12
GT1,80,70716,70728,12
GT1,81,80787,80799,12
GT1,82,75555,75568,13
GT1,83,71061,71073,12
GT1,84,81360,81372,12
GT1,85,68216,68228,12
GT1,86,77529,77542,13
GT1,87,75781,75800,19
GT1,88,72966,72983,17
GT1,89,74753,74781,28
GT1,90,79331,79343,12
GT1,91,72438,72455,17
GT1,92,77164,77181,17
GT1,93,78188,78205,17
GT1,94,72754,72771,17
GT1,95,80884,80900,16
GT1,96,72996,73013,17
GT1,97,75308,75336,28
GT1,98,77000,77013,13
GT1,99,80699,80716,17
GT1,100,74234,74251,17
GT1,101,79624,79642,18
GT1,102,71699,71718,19
GT1,103,69894,69913,19
GT1,104,73372,73389,17
GT1,105,75852,75870,18
GT1,106,62891,62904,13
GT1,107,61421,61435,14
GT1,108,68161,68179,18
GT1,109,71195,71212,17
GT1,110,69018,69036,18
GT1,111,78047,78065,18
GT1,112,83003,83020,17
GT1,113,85049,85067,18
GT1,114,81754,81771,17
GT1,115,75770,75784,14
GT1,116,78692,78706,14
GT1,117,90229,90247,18
GT1,118,73365,73384,19
GT1,119,91947,91965,18
GT1,id,submitted_us,completed_us,drain_us
GT1,0,9116,18058,8942
GT1,1,7408,15793,8385
GT1,2,7225,16482,9257
GT1,3,7121,16438,9317
GT1,4,7203,16566,9363
GT1,5,7906,16715,8809
GT1,6,7418,16285,8867
GT1,7,7703,16595,8892
GT1,8,7565,16464,8899
GT1,9,7482,16444,8962
GT1,10,7502,16557,9055
GT1,11,8078,16667,8589
GT1,12,8411,16494,8083
GT1,13,7775,16375,8600
GT1,14,7978,16435,8457
GT1,15,7731,16437,8706
GT1,16,7919,16583,8664
GT1,17,8427,16686,8259
GT1,18,7943,16251,8308
GT1,19,9197,16819,7622
GT1,20,8354,16263,7909
GT1,21,8235,16442,8207
GT1,22,8251,16528,8277
GT1,23,8943,16755,7812
GT1,24,8314,16232,7918
GT1,25,8239,16529,8290
GT1,26,8836,16643,7807
GT1,27,9171,16267,7096
GT1,28,8211,16596,8385
GT1,29,8905,16695,7790
GT1,30,8305,16181,7876
GT1,31,8364,16589,8225
GT1,32,8246,16496,8250
GT1,33,9785,16636,6851
GT1,34,8312,16346,8034
GT1,35,9015,16760,7745
GT1,36,8240,16184,7944
GT1,37,8187,16510,8323
GT1,38,8187,16504,8317
GT1,39,8342,16474,8132
GT1,40,8777,16799,8022
GT1,41,9067,16419,7352
GT1,42,8276,16256,7980
GT1,43,8263,16580,8317
GT1,44,8472,16420,7948
GT1,45,7834,16439,8605
GT1,46,8046,16621,8575
GT1,47,8756,16737,7981
GT1,48,8567,16309,7742
GT1,49,8503,16551,8048
GT1,50,8580,16529,7949
GT1,51,8784,16420,7636
GT1,52,8169,16459,8290
GT1,53,9021,16777,7756
GT1,54,9059,16429,7370
GT1,55,8938,16343,7405
GT1,56,8653,16460,7807
GT1,57,8613,16457,7844
GT1,58,8637,16507,7870
GT1,59,8698,16660,7962
GT1,60,8239,16268,8029
GT1,61,9092,16821,7729
GT1,62,8616,16216,7600
GT1,63,9890,16607,6717
GT1,64,8608,16369,7761
GT1,65,9234,16709,7475
GT1,66,8665,16232,7567
GT1,67,8633,16517,7884
GT1,68,9970,16743,6773
GT1,69,8506,16205,7699
GT1,70,8506,16575,8069
GT1,71,9308,16813,7505
GT1,72,8629,16133,7504
GT1,73,8971,16639,7668
GT1,74,8871,16452,7581
GT1,75,9660,16706,7046
GT1,76,8883,16320,7437
GT1,77,9643,16762,7119
GT1,78,8802,16112,7310
GT1,79,9030,16556,7526
GT1,80,8428,16499,8071
GT1,81,8660,16511,7851
GT1,82,9436,16743,7307
GT1,83,9631,16522,6891
GT1,84,9893,16159,6266
GT1,85,8892,16585,7693
GT1,86,9162,16411,7249
GT1,87,8558,16486,7928
GT1,88,8538,16533,7995
GT1,89,9411,16720,7309
GT1,90,8869,16245,7376
GT1,91,9513,16596,7083
GT1,92,8931,16523,7592
GT1,93,9131,16311,7180
GT1,94,8448,16535,8087
GT1,95,9281,16774,7493
GT1,96,9439,16427,6988
GT1,97,9086,16269,7183
GT1,98,8956,16517,7561
GT1,99,8840,16401,7561
GT1,100,9038,16541,7503
GT1,101,8991,16717,7726
GT1,102,8685,16238,7553
GT1,103,9910,16766,6856
GT1,104,8994,16209,7215
GT1,105,8937,16425,7488
GT1,106,8940,16562,7622
GT1,107,9605,16750,7145
GT1,108,9007,16158,7151
