case,variant,kind,exact,failure,bytes,encode_ms,original_cli_exact,sha256
tiny,srle2-o0-b4259840-r4-i1,srle2,True,,49,0.00793,False,b672e17cbe880b3ff8f4691c53140e11c386f140fe70d2e2d4065f43dc5c533d
tiny,srle2-o0-b4259840-r8-i0,srle2,True,,46,0.0077599999999999995,False,d65ee72af913cb09d743d0847c7be02618681b9a7f0a07fb38f4d06c37a55ed4
tiny,srle2-o0-b4259840-r8-i1,srle2,True,,48,0.008046666666666667,False,760d748e26280d15c317a766c1f40c405d36682ae3dff64a587fd7e0775e305c
tiny,srle2-o4-b4259840-r1-i1,srle2,True,,48,0.029036333333333334,False,0769553805fff1adcf426089530e6d278b52d9a4bb6b59175ad430be62c84612
tiny,srle2-o4-b4259840-r2-i0,srle2,True,,47,0.028650000000000002,False,5dadf09641cc6868e532c06d81d3306659be2e2f891327472a33accfaf0df063
tiny,srle2-o4-b4259840-r2-i1,srle2,True,,49,0.02911966666666667,False,d59c4e8083c564cd94058efa589f1a1c5594073130013f0b6a88c1f12a8a7abd
tiny,srle2-o4-b4259840-r3-i0,srle2,True,,47,0.029116333333333334,False,516e9cf2d8e81ef24fc995d6e0141dd9b82d6444ff61c986af77864eb3f3ca34
tiny,srle2-o4-b4259840-r3-i1,srle2,True,,49,0.028983333333333333,False,864f54facaf27b71fd71a5f84d850da4f3f691929dce445ee9a5d7f0b1de5dd7
tiny,srle2-o4-b4259840-r4-i0,srle2,True,,46,0.028436666666666666,False,52151bc6dcde08bb6348ff9b5062e76172b67b01340502ab2f65833f77acf7b4
tiny,srle2-o4-b4259840-r4-i1,srle2,True,,49,0.028929666666666666,False,26d86275f8f1bed438f39c7544b48902eabddbb1daab0f3b6e4f5c126b43d951
tiny,srle2-o4-b4259840-r8-i0,srle2,True,,46,0.02862,False,587f8007b639cdc49ec511f18ff928e0546d44854e9d6e5be0d0027aa306dbd9
tiny,srle2-o4-b4259840-r8-i1,srle2,True,,48,0.028666666666666667,False,a9270f80c6632bb2fc198bda9b3ef5d3b6ae328eea7e3e9189e2644e4e9b9320
tiny,png-l1-s0-f0,png,True,,271,0.00645,False,de90419735e06c348c938e41809b8555c497425a6119e5f6af0147e0e6cdfd67
tiny,png-l1-s0-f1,png,True,,271,0.005926666666666667,False,83f148d28360db75371b0820d967a8608ee25cc4fa7b98be93463c45474a979c
tiny,png-l1-s0-f2,png,True,,271,0.005656666666666667,False,b52ca31a5e1530d5068771899ad34ea1a0f69d20a6dc58a434c6161bc96da8c5
tiny,png-l1-s3-f0,png,True,,271,0.005733,False,de90419735e06c348c938e41809b8555c497425a6119e5f6af0147e0e6cdfd67
tiny,png-l1-s3-f1,png,True,,271,0.0057799999999999995,False,83f148d28360db75371b0820d967a8608ee25cc4fa7b98be93463c45474a979c
tiny,png-l1-s3-f2,png,True,,271,0.00569,False,b52ca31a5e1530d5068771899ad34ea1a0f69d20a6dc58a434c6161bc96da8c5
tiny,png-l1-s2-f0,png,True,,271,0.005623,False,de90419735e06c348c938e41809b8555c497425a6119e5f6af0147e0e6cdfd67
